Message body



toki-iro,鴇色,ときいろ,lt-pR,明るい紫みの赤,7RP 7.5/8,#F9A1D0,RP
karakurenai-iro,唐紅色・韓紅花色,からくれないいろ,vv-R,鮮やかな赤,1.5R 5.5/13,#E3557F,R
suo,蘇芳,すおう,dl-R,くすんだ赤,4R 4/7,#974B52,RK
tobi-iro,鳶色,とびいろ,dk-yR,暗い黄みの赤,7.5R 3.5/5,#7D483E,RYK
bengara-iro,弁柄色,べんがらいろ,dl-O,くすんだ黄赤,8R 3.5/7,#8A4031,RYK
ebicha,海老茶,えびちゃ,dl-yR,くすんだ黃みの赤,8R 3/4.5,#6D3D33,RYK
oni,黄丹,おうに,st-O,強い黄赤,10R 6/12,#EF6D3E,RY
hiwada-iro,檜皮色,ひわだいろ,dg-O,暗い灰みの黄赤,1YR 4.3/4,#8A604F,RYK
taisha-iro,代赭色,たいしゃいろ,dl-O,くすんだ黄赤,2.5YR 5/8.5,#BA6432,RYK
koji-iro,柑子色,こうじいろ,lt-O,明るい黄赤,5.5YR 7.5/9,#FFA75E,RY
kohaku-iro,琥珀色,こはくいろ,dl-rY,くすんだ赤みの黃,8YR 5.5/6.5,#C67400,RYK
kuchiba-iro,朽葉色,くちばいろ,mg-rY,灰みの赤みの黃,10YR 5/2,#897868,RYK
ukon-iro,鬱金色,うこんいろ,st-Y,強い黃,2Y 7.5/12,#FCAC00,Y
kariyasu-iro,刈安色,かりやすいろ,pl-gY,薄い緑みの黃,7Y 8.5/7,#EED67E,YG
kihada-iro,黄蘗色,きはだいろ,lt-YG,明るい黄緑,9Y 8/8,#D9CB65,YG
miru-iro,海松色,みるいろ,dg-YG,暗い灰みの黄緑,9.5Y 4.5/2.5,#736F55,YGK
hiwa-iro,鶸色,ひわいろ,sf-YG,やわらかい黄緑,1GY 7.5/8,#C2C05C,YG
tokiwa-iro,常磐色,ときわいろ,dp-G,濃い緑,3G 4.5/7,#357C4C,G
rokusho-iro,緑青色,ろくしょういろ,dl-G,くすんだ緑,4G 5/4,#5F836D,G
tetsu-iro,鉄色,てついろ,vd-BG,ごく暗い青緑,2.5BG 2.5/2.5,#244344,GB
shinbashi-iro,新橋色,しんばしいろ,lt-gB,明るい緑味の青,2.5B 6.5/5.5,#69AAC6,GB
nando-iro,納戸色,なんどいろ,st-gB,強い緑みの青,4B 4/6,#166A88,GB
kamenozoki,瓶覗,かめのぞき,sf-gB,やわらかい灰みの青,4.5B 7/4,#8CB4CE,WGB
hanada-iro,縹色,はなだいろ,st-B,強い青,3PB 4/7.5,#3C639B,B
fuji-iro,藤色,ふじいろ,lt-V,明るい青紫,10PB 6.5/6.5,#A09BD8,WBP
edomurasaki,江戸紫,えどむらさき,dg-bP,暗い灰みの青みの紫,3P 3.5/7,#5F4C86,BP
kodaimurasaki,古代紫,こだいむらさき,dl-P,くすんだ紫,7.5P 4/6,#775686,P
ginnezu,銀鼠,ぎんねず,ltGy,明るい灰色,N6.5,#A0A0A0,WK
chanezu,茶鼠,ちゃねず,y-r-mdGy,黄みを帯びた赤みの灰色,5YR 6/1,#9F9190,WRYK
rikyunezu,利休鼠,りきゅうねず,g-mdGy,緑みの灰色,2.5G 5/1,#787C7A,WGK
susutake-iro,煤竹色,すすたけいろ,r-y-dkGy,赤みを帯びた黄みの暗い灰色,9.5YR 3.5/1.5,#605448,WRYK
old-rose,オールドローズ,Old Rose,sf-R,やわらかい赤,1R 6/6.5,#C97F96,R
poppy-red,ポピーレッド,Poppy Red,vv-R,鮮やかな赤,4R 5/14,#DD4157,R
maroon,マルーン,Maroon,dk-R,暗い赤,5R 2.5/6,#682A2B,RK
terracotta,テラコッタ,Terracotta,dl-yR,くすんだ黃みの赤,7.5R 4.5/8,#AC5647,RY
chinese-red,チャイニーズレッド,Chinese Red,vv-O,鮮やかな黄赤,10R 6/15,#FF5D20,RY
burnt-sienna,バーントシェンナ,Burnt Sienna,dl-O,くすんだ黄赤,10R 4.5/7.5,#A8593C,RYK
raw-sienna,ローシェンナ,Raw Sienna,st-O,強い黄赤,4YR 5/9,#BB6421,RYK
tan,タン,Tan,dl-O,くすんだ黄赤,6YR 5/6,#A56F3F,RYK
ecru-beige,エクルベイジュ,Ecru Beige,pl-rY,ごく薄い赤みの黃,7.5YR 8.5/4,#F8CFAE,WRY
golden-yellow,ゴールデンイエロー,Golden Yellow,st-rY,強い赤みの黃,7.5YR 7/10,#F39A38,RY
amber,アンバー,Amber,dl-rY,くすんだ赤みの黄,8YR 5.5/6.5,#B37D40,RYK
burnt-umber,バーントアンバー,Burnt Umber,vd-rY,ごく暗い赤みの黃,10YR 3/3,#5B462A,RYK
naples-yellow,ネープルスイエロー,Naples Yellow,st-Y,強い黃,2.5Y 8/7.5,#F2C26B,Y
raw-umber,ローアンバー,Raw Umber,dk-Y,暗い黄,2.5Y 4/6,#7F5C13,YK
jaune-brillant,ジョンブリアン,Jaune Brillant,vv-Y,鮮やかな黄,5Y 8.5/14,#FFCC00,Y
chartreuse-green,シャトルーズグリーン,Chartreuse Green,lt-YG,明るい黄緑,4GY 8/10,#BDD458,YG
leaf-green,リーフグリーン,Leaf Green,st-YG,強い黄緑,5GY 6/7,#879D4E,YG
grass-green,グラスグリーン,Grass Green,dl-YG,くすんだ黄緑,5GY 5/5,#737C3E,YG
apple-green,アップルグリーン,Apple Green,sf-yG,やわらかい黄みの緑,10GY 8/5,#B0D3A8,YG
mint-green,ミントグリーン,Mint Green,lt-G,明るい緑,2.5G 7.5/8,#81CC91,G
malachite-green,マラカイトグリーン,Malachite Green,dp-G,濃い緑,4G 4.5/9,#008047,G
bottle-green,ボトルグリーン,Bottle Green,vd-G,ごく暗い緑,5G 2.5/3,#264435,G
peacock-green,ピーコックグリーン,Peacock Green,vv-BG,鮮やかな青緑,7.5BG 4.5/9,#007F91,GB
nile-blue,ナイルブルー,Nile Blue,dl-BG,くすんだ青緑,10BG 5.5/5,#5190A4,GB
cerulean-blue,セルリアンブルー,Cerulean Blue,vv-B,鮮やかな青,9B 4.5/9,#0B74AF,B
midnight-blue,ミッドナイトブルー,Midnight Blue,vd-pB,ごく暗い紫みの青,5PB 1.5/2,#00152D,BPK
wistaria,ウィスタリア,Wistaria,vv-V,鮮やかな青紫,10PB 5/12,#776ED2,BP
lilac,ライラック,Lilac,sf-P,やわらかい紫,6P 7/6,#C2A2DA,P
slate-grey,スレートグレイ,Slate Grey,dkGy,暗い灰色,2.5PB 3.5/0.5,#56555E,WBPK
lamp-black,ランプブラック,Lamp Black,Bk,黒,N1,#1C1C1C,K
sakura-iro,桜色,さくらいろ,vp-pR,ごく薄い紫みの赤,10RP 9/2.5,#FFDBED,WRP
sango-iro,珊瑚色,さんごいろ,lt-R,明るい赤,2.5R 7/11,#FF87A0,R
kobai-iro,紅梅色,こうばいいろ,sf-R,やわらかい赤,2.5R 6.5/7.5,#E08899,R
akane-iro,茜色,あかねいろ,dp-R,濃い赤,4R 3.5/11,#A0283A,R
shu-iro,朱色,しゅいろ,vv-yR,鮮やかな黄みの赤,6R 5.5/14,#ED514E,RY
renga-iro,煉瓦色,れんがいろ,dk-O,暗い黄赤,10R 4/7,#974E33,RYK
kuri-iro,栗色,くりいろ,dg-O,暗い灰みの黄赤,2YR 3.5/4,#754C38,RYK
yamabuki-iro,山吹色,やまぶきいろ,vv-rY,鮮やかな赤みの黄,10YR 7.5/13,#FFA500,RY
odo-iro,黄土色,おうどいろ,dp-rY,濃い赤みの黃,10YR 6/7.5,#C18A39,RYK
karashi-iro,芥子色,からしいろ,sf-Y,やわらかい黃,3Y 7/6,#CDA966,Y
uguisu-iro,鶯色,うぐいすいろ,dl-YG,くすんだ黄緑,1GY 4.5/3.5,#71714A,YG
moegi,萌黄,もえぎ,st-YG,強い黄緑,4GY 6.5/9,#96AA3D,YG
wakatake-iro,若竹色,わかたけいろ,st-G,強い緑,6G 6/7.5,#49A581,G
seiji-iro,青磁色,せいじいろ,sf-bG,やわらかい青みの緑,7.5G 6.5/4,#80AA9F,GB
asagi-iro,浅葱色,あさぎいろ,vv-gB,鮮やかな緑みの青,2.5B 5/8,#0087AA,GB
sora-iro,空色,そらいろ,lt-B,明るい青,9B 7.5/5.5,#95C0EC,B
ai-iro,藍色,あいいろ,dk-B,暗い青,2PB 3/5,#2E4B71,B
ruri-iro,瑠璃色,るりいろ,dp-pB,濃い紫みの青,6PB 3.5/11,#3451A4,BP
gunjo-iro,群青色,ぐんじょういろ,dp-pB,濃い紫みの青,7.5PB 3.5/11,#414FA3,BP
kikyo-iro,桔梗色,ききょういろ,dp-V,濃い青紫,9PB 3.5/13,#4A49AD,BP
nasukon,茄子紺,なすこん,vd-P,ごく暗い紫,7.5P 2.5/2.5,#47384F,PK
ayame-iro,菖蒲色（あやめいろ）,あやめいろ,lt-rP,明るい赤みの紫,10P 6/10,#C27BC8,RP
botan-iro,牡丹色,ぼたんいろ,vv-RP,鮮やかな赤紫,3RP 5/14,#C24DAE,RP
kinari-iro,生成色,きなりいろ,r-y-Wt,赤みを帯びた黄みの白,10YR 9/1,#F0E2E0,WRY
wine-red,ワインレッド,Wine Red,dp-pR,濃い紫みの赤,10RP 3/9,#83274E,RP
bordeaux,ボルドー,Bordeaux,vd-R,ごく暗い赤,2.5R 2.5/3,#55353B,RK
carmine,カーマイン,Carmine,vv-R,鮮やかな赤,4R 4/14,#BE1E3E,R
vermilion,バーミリオン,Vermilion,vv-yR,鮮やかな黄みの赤,6R 5.5/14,#ED514E,RY
scarlet,スカーレット,Scarlet,vv-yR,鮮やかな黄みの赤,7R 5/14,#DE4335,RY
salmon-pink,サーモンピンク,Salmon Pink,sf-yR,やわらかい黄みの赤,8R 7.5/7.5,#FFA594,RY
chocholate,チョコレート,Chocholate,vd-O,ごく暗い黄赤,10R 2.5/2.5,#52372F,RYK
peach,ピーチ,Peach,lg-O,明るい灰みの黄赤,3YR 8/3.5,#EBC0AF,WRY
marigold,マリーゴールド,Marigold,vv-rY,鮮やかな赤みの黃,8YR 7.5/13,#FFA000,RY
beige,ベージュ,Beige,lg-rY,明るい灰みの赤みの黃,10YR 7/2.5,#C1AB96,WRY
sepia,セピア,Sepia,vd-rY,ごく暗い赤みの黃,10YR 2.5/2,#4A3B2A,RYK
kahaki,カーキー,Kahaki,dl-rY,くすんだ赤みの黄,1Y 5/5.5,#9A753A,RYK
blond,ブロンド,Blond,sf-Y,やわらかい黃,2Y 7.5/7,#E3B466,Y
cream-yellow,クリームイエロー,Cream Yellow,vp-Y,ごく薄い黃,5Y 8.5/3.5,#E8D5AF,WY
canary-yellow,カナリヤ,Canary Yellow,lt-gY,明るい緑みの黃,7Y 8.5/10,#F7D54E,YG
olive,オリーブ,Olive,dk-gY,暗い緑みの黃,7.5Y 3.5/4,#605627,YGK
lemon-yellow,レモンイエロー,Lemon Yellow,vv-gY,鮮やかな緑みの黃,8Y 8/12,#E8C800,YG
olive-green,オリーブグリーン,Olive Green,dg-YG,暗い灰みの黄緑,2.5GY 3.5/3,#565838,YGK
cobalt-green,コバルトグリーン,Cobalt Green,lt-G,明るい緑,4G 7/9,#5DC288,G
emerald-green,エメラルドグリーン,Emerald Green,st-G,強い緑,4G 6/8,#4DA573,G
viridian,ビリジアン,Viridian,dl-bG,くすんだ青みの緑,8G 4/6,#156F5C,GB
turquoise-blue,ターコイズブルー,Turquoise Blue,lt-gB,明るい緑みの青,5B 6/8,#399ECC,GB
marine-blue,マリンブルー,Marine Blue,dp-gB,濃い緑みの青,5B 3/7,#005175,GB
cyan,シアン,Cyan,lt-B,明るい青,7.5B 6/10,#219DDD,B
sky-blue,スカイブルー,Sky Blue,lt-B,明るい青,9B 7.5/5.5,#95C0EC,B
baby-blue,ベビーブルー,Baby Blue,lg-B,明るい灰みの青,10B 7.5/3,#ABBDDA,B
cobalt-blue,コバルトブルー,Cobalt Blue,vv-B,鮮やかな青,3PB 4/10,#2863AB,B
navy-blue,ネービーブルー,Navy Blue,dk-pB,暗い紫みの青,6PB 2.5/4,#333C5E,BPK
ultramarine-blue,ウルトラマリンブルー,Ultramarine Blue,dp-pB,濃い紫みの青,7.5PB 3.5/11,#414FA3,BP
violet,バイオレット,Violet,vv-V,鮮やかな青紫,2.5P 4/11,#6D52AB,BP
lavender,ラベンダー,Lavender,mg-bP,灰みの青みの紫,5P 6/3,#9E8EAE,BP
mauve,モーブ,Mauve,st-rP,強い赤みの紫,5P 4.5/9,#835FA8,RP
purple,パープル,Purple,vv-P,鮮やかな紫,7.5P 5/12,#A260BF,P
magenta,マゼンタ,Magenta,vv-RP,鮮やかな赤紫,5RP 5/14,#C949A2,RP
ivory,アイボリー,Ivory,y-plGy,黄みの薄い灰色,2.5Y 8.5/1.5,#E3D4CA,WYK
silver-grey,シルバーグレイ,Silver Grey,ltGy,明るい灰色,N6.5,#A0A0A0,WK
charcoal-grey,チャコールグレイ,Charcoal Grey,p-dkGy,紫みの暗い灰色,5P 3/1,#4E4854,WPK
